,X,tracks,track_id,popularity,artist,artist_full,artist_id,album,album_id,user_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,display_name,user_followers,artist.1,genres,artist_id.1,artist_popularity,artist_followers,year
1,1,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,0.82,Ed Sheeran,Ed Sheeran feat. Justin Bieber,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,12153873361,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947,4,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,Ma Adelle Gia Arbo,33,BTS,"k-pop,k-pop boy group",3Nrfpe0tUJi4K4DXYWgMUX,96,42733517,2019
2,2,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,0.86,Post Malone,Post Malone feat. Swae Lee,246dkjvS1zLTtiykXe5h60,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),35s58BRTGAEWztPo9WqCIs,12153873361,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,Ma Adelle Gia Arbo,33,BTS,"k-pop,k-pop boy group",3Nrfpe0tUJi4K4DXYWgMUX,96,42733517,2019
3,3,God Is Good All the Time,72ca3wjJVhUqctSVSC9idE,0.33,Don Moen,Don Moen,2JGLjTHV2t8u8wxmLaiFfe,By Special Request: Vol. 1,0mcib3bdk3MywTW1F43V1i,12153873361,0.547,0.914,2,-5.082,1,0.0627,0.11,6.75E-06,0.29,0.52,117.983,360867,4,spotify:track:72ca3wjJVhUqctSVSC9idE,https://api.spotify.com/v1/audio-analysis/72ca3wjJVhUqctSVSC9idE,Ma Adelle Gia Arbo,33,PDL,"opm,pinoy hip hop,pinoy r&b",0iqkVK6sTXi7DZWWOeKy8Q,55,115191,2019
4,4,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,0.8,Sam Smith,Sam Smith feat. Normani,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),1V9oE8bVilClrk5naqyyvL,12153873361,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,171030,4,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,Ma Adelle Gia Arbo,33,SWV,"contemporary r&b,dance pop,girl group,hip hop,hip pop,neo soul,new jack swing,quiet storm,r&b,urban contemporary",2NmK5FyrQ18HOPXq1UBzqa,63,1437168,2019
5,5,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,0.06,Lauv,Lauv feat. Troye Sivan,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,13yMsBNa2femeWzhcDOqFw,12153873361,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,162583,4,spotify:track:7COXchtUOMd6uIT6HvmRaI,https://api.spotify.com/v1/audio-analysis/7COXchtUOMd6uIT6HvmRaI,Ma Adelle Gia Arbo,33,TWICE,"k-pop,k-pop girl group",7n2Ycct7Beij7Dj7meI4X0,86,11640800,2019
6,6,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,0.83,Drake,Drake,3TVXtAsR1Inumwj472S9r4,More Life,1lXY618HWkwYKJWBRYR4MK,12153873361,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,spotify:track:5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,Ma Adelle Gia Arbo,33,Bullet Dumas,"pinoy indie,pinoy rock",1hFH6NZJrhl0Un65IZxlZH,26,27083,2019
7,7,Happier,2dpaYNEQHiRxtZbfNsse99,0.85,Marshmello,Marshmello feat. Bastille,64KEffDW9EtZ1y2vBYgq8T,Happier,78EicdHZr5XBWD7llEZ1Jh,12153873361,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,Ma Adelle Gia Arbo,33,Bullet Dumas,"pinoy indie,pinoy rock",1hFH6NZJrhl0Un65IZxlZH,26,27083,2019
8,8,Slide (feat. Frank Ocean & Migos),6gpcs5eMhJwax4mIfKDYQk,0.75,Calvin Harris,Calvin Harris feat. Frank Ocean feat. Migos,7CajNmpbOovFoOoasH2HaY,Slide (feat. Frank Ocean & Migos),1UIlzhqJLiA3f6OVw7QKn6,12153873361,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21E-06,0.254,0.511,104.066,230813,4,spotify:track:6gpcs5eMhJwax4mIfKDYQk,https://api.spotify.com/v1/audio-analysis/6gpcs5eMhJwax4mIfKDYQk,Ma Adelle Gia Arbo,33,The Killers,"alternative rock,dance rock,modern rock,permanent wave,rock",0C0XlULifJtAgn6ZNCW2eu,80,6305189,2019
9,9,Lost In Japan,79esEXlqqmq0GPz0xQSZTV,0.75,Shawn Mendes,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,2VP96XdMOKTXefI8Nui23s,12153873361,0.713,0.738,10,-6.784,1,0.374,0.255,0,0.106,0.425,105.027,201200,4,spotify:track:79esEXlqqmq0GPz0xQSZTV,https://api.spotify.com/v1/audio-analysis/79esEXlqqmq0GPz0xQSZTV,Ma Adelle Gia Arbo,33,Illustrado,"pinoy alternative rap,pinoy hip hop,tagalog rap",1nSimtmn2BcWySymd0bBFJ,25,4854,2019
10,10,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,0.89,Lewis Capaldi,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,12153873361,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4,spotify:track:7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,Ma Adelle Gia Arbo,33,KOLATERAL,"pinoy indie,tagalog rap",5VtAIbaGnzEbVXhhTMaWgJ,30,12461,2019
